City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
282,Neryungri,56.67,124.65,52.34,80,95,3.09,RU,overcast clouds
283,Chinsali,-10.54,32.08,65.07,37,0,6.85,ZM,clear sky
284,Guerrero Negro,27.98,-114.06,78.24,52,0,12.48,MX,clear sky
285,Viedma,-40.81,-63.0,55.27,37,0,11.01,AR,clear sky
286,Lakes Entrance,-37.88,147.98,39.99,91,94,3.51,AU,overcast clouds
287,Changji,44.02,87.32,82.4,34,5,2.24,CN,clear sky
288,Sebezh,56.3,28.47,62.37,76,0,1.95,RU,clear sky
289,Sauda,59.65,6.35,66.0,84,47,3.94,NO,scattered clouds
290,Chateauroux,46.82,1.7,95.0,19,0,8.05,FR,clear sky
291,Stephenville,32.22,-98.2,93.0,36,1,8.05,US,clear sky
292,Nieuwpoort,51.12,2.77,78.01,53,44,11.41,BE,scattered clouds
293,Tromso,69.65,18.96,60.8,67,40,16.11,NO,light rain
294,Madarounfa,13.31,7.16,69.8,100,20,4.7,NE,thunderstorm with rain
295,Husavik,66.04,-17.34,62.6,42,40,10.29,IS,scattered clouds
296,Copiapo,-27.37,-70.33,60.8,67,40,18.34,CL,scattered clouds
297,Talcahuano,-36.72,-73.12,53.6,50,26,9.17,CL,scattered clouds
298,Almaznyy,48.04,40.05,87.8,35,24,8.95,RU,few clouds
299,Maningrida,-12.07,134.27,70.39,92,97,4.07,AU,overcast clouds
300,Waddan,29.16,16.14,98.38,14,0,14.41,LY,clear sky
301,Ganzhou,28.82,115.43,80.73,84,100,5.7,CN,overcast clouds
302,Carire,-3.95,-40.47,94.75,27,6,8.95,BR,clear sky
303,Zhigansk,66.77,123.37,64.99,51,96,4.94,RU,overcast clouds
304,Hervey Bay,-25.3,152.85,62.01,88,60,1.01,AU,broken clouds
305,Eureka,40.8,-124.16,62.01,100,84,1.01,US,broken clouds
306,Kaliua,-5.06,31.79,74.59,34,19,4.79,TZ,few clouds
307,Wau,7.7,28.0,72.28,90,43,0.27,SS,scattered clouds
308,Iqaluit,63.75,-68.51,59.0,72,75,6.93,CA,broken clouds
309,Grindavik,63.84,-22.43,53.6,76,75,19.46,IS,shower rain
310,Dicabisagan,17.08,122.42,79.07,81,95,3.09,PH,overcast clouds
311,Ruteng,-8.61,120.47,57.4,100,52,1.5,ID,broken clouds
312,Yemtsa,63.07,40.33,59.43,77,100,4.72,RU,overcast clouds
313,Ilulissat,69.22,-51.1,42.8,81,75,3.36,GL,light intensity drizzle rain
314,Coquimbo,-29.95,-71.34,55.4,87,75,14.99,CL,broken clouds
315,Lasa,46.62,10.7,69.8,56,20,5.82,IT,few clouds
316,Saint George,37.1,-113.58,91.99,11,1,3.36,US,clear sky
317,Uige,-7.61,15.06,75.88,46,100,4.16,AO,overcast clouds
318,Trinidad,-14.83,-64.9,89.6,46,20,4.7,BO,few clouds
319,Adrar,20.5,-10.07,104.04,13,0,15.26,MR,clear sky
320,Manavalakurichi,8.13,77.3,82.4,88,75,1.12,IN,mist
321,Luton,51.88,-0.42,81.0,51,75,5.82,GB,broken clouds
322,Whyalla,-33.03,137.58,46.4,87,90,11.41,AU,overcast clouds
323,Tynda,55.17,124.72,51.04,84,88,2.06,RU,overcast clouds
324,Senneterre,48.38,-77.23,71.6,53,40,6.93,CA,scattered clouds
325,Seymchan,62.88,152.43,50.95,69,71,2.57,RU,broken clouds
326,Neepawa,50.23,-99.47,77.0,61,20,6.93,CA,few clouds
327,Nhulunbuy,-12.23,136.77,75.2,88,75,4.7,AU,broken clouds
328,Sisimiut,66.94,-53.67,44.44,83,100,4.0,GL,light rain
329,Barberino Di Mugello,44.0,11.24,84.2,39,19,8.05,IT,few clouds
330,Kenai,60.55,-151.26,54.0,93,90,6.93,US,light rain
331,Rio Gallegos,-51.62,-69.22,39.2,69,75,12.75,AR,broken clouds
332,Dingle,11.0,122.67,77.45,89,100,5.79,PH,light rain
